loss,mae,msle,val_loss,val_mae,val_msle
1.317039164,799.1452637,1.317039013,1.274997094,812.0541382,1.274996877
1.303242239,808.3649292,1.303241849,1.26456933,817.6900635,1.264569402
1.327110199,807.6903687,1.327110171,1.27826637,816.1704712,1.278266549
1.327597857,793.5595093,1.327597976,1.267910956,799.2279053,1.267911077
1.320496416,798.505127,1.320496559,1.268656313,785.4207153,1.268656135
1.316384519,781.9295044,1.316384912,1.296162967,785.6148071,1.296162844
1.312829984,786.173584,1.312829971,1.265769678,794.8635254,1.26576972
1.330576103,786.9458008,1.330575943,1.266270313,792.9882202,1.266270399
1.312823949,787.7052612,1.312823772,1.263502955,795.4393921,1.263503075
1.311757515,793.6353149,1.311757445,1.263641638,802.9868774,1.263641715
1.321053612,795.9421997,1.321053624,1.267341897,782.371521,1.267342091
1.31027216,785.3292847,1.310272217,1.285280013,786.7324219,1.285279989
1.296243855,785.357666,1.296243906,1.268301164,799.2696533,1.268301368
1.304500989,799.5504761,1.304500341,1.267615849,793.3864136,1.267615914
1.337517652,785.1766968,1.337517619,1.263150503,784.661499,1.263150573
1.323324235,781.1657104,1.323324561,1.277328648,775.9892578,1.277328849
1.320797527,784.9663086,1.320797682,1.267066289,776.0941772,1.26706636
1.302876128,777.4036865,1.302876234,1.269474018,785.7313232,1.26947403
1.321301724,778.0302734,1.321301937,1.266050895,795.1451416,1.266050935
1.319410364,780.4551392,1.319410324,1.279245298,780.4294434,1.279245377
1.317754585,779.291626,1.317754745,1.267643826,769.4133911,1.267644048
1.313319432,779.7724609,1.313319921,1.286315018,776.4072266,1.286314845
1.311926685,765.8931885,1.311926723,1.263487607,767.0730591,1.263487458
1.301334662,772.6295776,1.301334977,1.271359718,782.9550781,1.271359682
1.304868941,769.5103149,1.304869175,1.261176004,773.5662231,1.261176229
1.307346605,766.2106934,1.307346702,1.272202753,764.4254761,1.27220273
1.309503437,765.6149902,1.309503317,1.259957978,767.8460693,1.25995779
1.319576813,767.3862305,1.319576621,1.26269567,757.4442749,1.26269567
1.303939348,760.5108032,1.303939104,1.261044841,764.8814697,1.26104486
1.298756351,754.6350098,1.298756123,1.282172039,757.3029785,1.282172084
1.33473338,752.5134277,1.334733129,1.264220473,755.5837402,1.264220595
1.298060828,761.7329712,1.298061132,1.266696893,766.9725342,1.266696692
1.316252602,755.3458252,1.316252351,1.271965837,743.9967651,1.271965861
1.315560905,742.2866211,1.315560699,1.270463763,770.5088501,1.270463824
1.309133903,754.8087769,1.309133887,1.261808479,768.9412231,1.261808634
1.302006443,753.4358521,1.302006483,1.254838651,751.1061401,1.254838705
1.306335757,746.6964111,1.306335926,1.264437899,758.5523071,1.264438033
1.318013382,744.1413574,1.31801331,1.258382079,741.6010742,1.258381844
1.301673959,743.6965942,1.30167377,1.260953109,744.928833,1.260953188
1.308230702,736.2544556,1.308230877,1.257444145,742.2321167,1.257444143
1.309980924,739.3773804,1.309980512,1.253228414,731.7978516,1.253228426
1.301819497,737.682373,1.301819086,1.250618605,758.7895508,1.250618577
1.296429885,738.2360229,1.296429634,1.25379881,733.9552612,1.253798842
1.297587228,728.9273071,1.297587633,1.253469339,742.0532227,1.253469467
1.322106658,721.8560791,1.322106957,1.251051933,713.9467163,1.251052022
1.311803196,714.1998291,1.311803341,1.263135484,720.9140015,1.263135552
1.303067354,724.3093262,1.303067327,1.253220476,724.8661499,1.253220558
1.290860026,717.3309937,1.290859818,1.245691285,726.9412231,1.245691299
1.304545571,716.6906738,1.304545283,1.247796297,701.9343262,1.247796416
1.299826548,709.2232666,1.299826026,1.248496374,696.9202271,1.248496532
1.317368877,700.2821655,1.317368627,1.244570515,706.9559937,1.244570732
1.303577831,702.7608643,1.303577542,1.246223833,702.0869751,1.246223807
1.284883756,709.0981445,1.284883618,1.244776902,705.8076782,1.244776845
1.278749051,703.0524292,1.27874887,1.239244547,700.2042847,1.23924458
1.285775172,695.9389038,1.285775185,1.249657969,705.9788818,1.249657869
1.288176772,695.015625,1.288176656,1.238565776,689.3203735,1.238565922
1.280181176,685.1958618,1.28018117,1.24212324,683.475708,1.242123127
1.282489431,680.7614746,1.282488942,1.234679615,671.7938232,1.234679818
1.285827287,676.5616455,1.285827279,1.242828064,682.4556274,1.242828131
1.288399978,677.9338379,1.288400412,1.231070517,673.3477783,1.231070518
1.28301401,667.6906128,1.28301394,1.229849209,664.1239624,1.229849458
1.298957955,659.8771973,1.298957825,1.235748243,669.3868408,1.235748172
1.278343942,664.0203247,1.278343797,1.225363302,645.6799316,1.225363374
1.264570867,651.295166,1.264571071,1.224748726,644.7755737,1.22474885
1.284947854,641.9788208,1.284947872,1.229763174,662.0650635,1.229763031
1.282933734,636.0457153,1.282933831,1.223799755,619.3621216,1.223799825
1.279771744,610.4539795,1.279771566,1.219256744,607.6738281,1.219256759
1.270044242,600.7954712,1.270044088,1.214145291,595.3556519,1.214145064
1.268373372,586.3309937,1.268373489,1.205579914,565.9855347,1.205579877
1.252037293,558.6391602,1.252037406,1.207893632,543.3137207,1.20789361
1.255476763,521.3145142,1.255476832,1.21281136,518.9152222,1.21281147
1.261642872,492.6876526,1.261643291,1.191463509,479.9284058,1.19146347
1.23978846,468.8244934,1.239788532,1.196132788,443.2900085,1.196132779
1.238778567,438.5369568,1.238778472,1.188733108,427.7370911,1.188733101
1.253218507,416.9685364,1.253219008,1.19386601,405.5392761,1.193866134
1.22077518,402.4371033,1.220775366,1.167782706,394.0575867,1.167782664
1.210265081,390.3355713,1.21026504,1.161176474,383.1204834,1.161176562
1.244690293,383.1156616,1.244690061,1.167359126,375.2249756,1.167359114
1.202318135,374.0171509,1.202318192,1.151615934,372.3870239,1.151615858
1.202737491,368.602356,1.202737451,1.147663674,353.5150146,1.147663474
1.220483791,364.0193481,1.22048378,1.140680723,351.9707336,1.14068079
1.208672521,357.2490845,1.208672404,1.139054984,348.7923584,1.139055252
1.200009199,355.5184326,1.200009584,1.134571715,340.2935486,1.134571671
1.191715337,351.4132996,1.191715479,1.134448309,345.5367126,1.13444829
1.196235573,347.9428406,1.196235538,1.125594769,343.7817078,1.125594854
1.195639407,348.0704956,1.195639014,1.141951835,344.3856506,1.141951919
1.186904178,349.4650879,1.186904073,1.112771446,335.1151428,1.112771511
1.189874243,344.9071045,1.189874291,1.120959246,338.6048889,1.120959163
1.180702302,346.2422791,1.18070209,1.138041411,342.486969,1.138041496
1.191426012,345.446167,1.19142592,1.143694776,338.3095398,1.143694758
1.191890425,346.8128357,1.191890478,1.103266095,336.6489258,1.103266239
1.208943544,346.490448,1.208943963,1.098462069,332.9434509,1.098461986
1.160229659,343.8058777,1.160229445,1.104361366,332.1826172,1.104361415
1.207075005,345.2971191,1.207075119,1.105672726,337.3156128,1.105672598
1.165269261,343.6841736,1.165269017,1.090199625,332.2982483,1.09019959
1.133689549,340.0223389,1.133689523,1.090850654,333.7808533,1.09085083
1.148836513,339.6182861,1.148836374,1.099701747,328.4743958,1.099702001
1.153578874,342.2887878,1.153578639,1.090212834,330.935791,1.09021306
1.13877168,339.5692444,1.138771653,1.074672388,328.3954468,1.074672341
1.164378593,341.4156799,1.164378762,1.076528181,331.1488342,1.076528072
1.15071144,341.5779114,1.150711656,1.069146821,335.9216919,1.069146991
1.158741903,341.5133972,1.15874207,1.075143255,337.1267395,1.075143218
1.136858923,339.7071838,1.13685894,1.066511622,330.8821411,1.066511512
1.13782234,340.1851196,1.137822866,1.062001364,330.3821106,1.062001228
1.148318011,340.8459473,1.148318291,1.063044475,331.3049927,1.063044548
