,0,,,197.9315658,,,Total rotation,ANFIS,ANN
323,6350.5,,,,,,,,
324,3300.5,,,,,,,,
325,0,,,,,,,,
326,6350.5,,,,,,,,
327,6350.5,,,,,,,,
328,3300.5,,,,,,,,
329,0,,,,,,,,
330,3300.5,,,,,,,,
331,3300.5,,,,,,,,
332,0,,,,,,,,
333,3300.5,,,,,,,,
334,4700.5,,,,,,,,
335,4700.5,,,,,,,,
336,4700.5,,,,,,,,
337,3300.5,,,,,,,,
338,4700.5,,,,,,,,
339,3300.5,,,,,,,,
340,3300.5,,,,,,,,
341,4700.5,,,,,,,,
342,0,,,,,,,,
343,2100,,,,,,,,
344,3300.5,,,,,,,,
345,3300.5,,,,,,,,
346,0,,,,,,,,
347,4700.5,,,,,,,,
348,4700.5,,,,,,,,
349,3300.5,,,,,,,,
350,6350.5,,,,,,,,
351,0,,,,,,,,
352,6350.5,,,,,,,,
353,2100,,,,,,,,
354,3300.5,,,,,,,,
355,4700.5,,,,,,,,
356,4700.5,,,,,,,,
357,6350.5,,,,,,,,
358,4700.5,,,,,,,,
359,0,,,,,,,,
360,0,,,,,,,,
361,2100,,,,,,,,
362,6350.5,,,,,,,,
363,3300.5,,,,,,,,
364,4700.5,,,,,,,,
365,4700.5,,,,,,,,
366,0,,,,,,,,
367,4700.5,,,,,,,,
368,0,,,,,,,,
369,6350.5,,,,,,,,
370,2100,,,,,,,,
371,3300.5,,,,,,,,
372,4700.5,,,,,,,,
373,0,,,,,,,,
374,0,,,,,,,,
375,2100,,,,,,,,
376,2100,,,,,,,,
377,6350.5,,,,,,,,
378,3300.5,,,,,,,,
379,2100,,,,,,,,
380,2100,,,,,,,,
381,2100,,,,,,,,
382,3300.5,,,,,,,,
383,2100,,,,,,,,
384,2100,,,,,,,,
385,3300.5,,,,,,,,
386,0,,,,,,,,
387,6350.5,,,,,,,,
388,3300.5,,,,,,,,
389,0,,,,,,,,
390,3300.5,,,,,,,,
391,3300.5,,,,,,,,
392,3300.5,,,,,,,,
393,6350.5,,,,,,,,
394,4700.5,,,,,,,,
395,3300.5,,,,,,,,
396,2100,,,,,,,,
397,0,,,,,,,,
398,2100,,,,,,,,
399,6350.5,,,,,,,,
400,3300.5,,,,,,,,
401,0,,,,,,,,
402,4700.5,,,,,,,,
403,6350.5,,,,,,,,
404,6350.5,,,,,,,,
405,3300.5,,,,,,,,
406,6350.5,,,,,,,,
407,3300.5,,,,,,,,
408,6350.5,,,,,,,,
409,2100,,,,,,,,
410,3300.5,,,,,,,,
411,0,,,,,,,,
412,3300.5,,,,,,,,
413,3300.5,,,,,,,,
414,4700.5,,,,,,,,
415,2100,,,,,,,,
416,6350.5,,,,,,,,
417,4700.5,,,,,,,,
418,0,,,,,,,,
419,4700.5,,,,,,,,
420,3300.5,,,,,,,,
421,0,,,,,,,,
422,0,,,,,,,,
423,2100,,,,,,,,
424,6350.5,,,,,,,,
425,3300.5,,,,,,,,
426,2100,,,,,,,,
427,3300.5,,,,,,,,
428,3300.5,,,,,,,,
429,2100,,,,,,,,
430,0,,,,,,,,
431,4700.5,,,,,,,,
432,4700.5,,,,,,,,
433,0,,,,,,,,
434,3300.5,,,,,,,,
435,3300.5,,,,,,,,
436,0,,,,,,,,
437,0,,,,,,,,
438,0,,,,,,,,
439,6350.5,,,,,,,,
440,3300.5,,,,,,,,
441,6350.5,,,,,,,,
442,3300.5,,,,,,,,
443,3300.5,,,,,,,,
444,0,,,,,,,,
445,6350.5,,,,,,,,
446,3300.5,,,,,,,,
447,3300.5,,,,,,,,
448,4700.5,,,,,,,,
449,3300.5,,,,,,,,
450,4700.5,,,,,,,,
451,0,,,,,,,,
452,4700.5,,,,,,,,
453,3300.5,,,,,,,,
454,4700.5,,,,,,,,
455,0,,,,,,,,
456,0,,,,,,,,
457,6350.5,,,,,,,,
458,3300.5,,,,,,,,
459,3300.5,,,,,,,,
460,3300.5,,,,,,,,
461,4700.5,,,,,,,,
462,4700.5,,,,,,,,
463,0,,,,,,,,
464,4700.5,,,,,,,,
465,3300.5,,,,,,,,
466,3300.5,,,,,,,,
467,2100,,,,,,,,
