loss,mae,mse,val_loss,val_mae,val_mse
135196.98759765626,273.5765380859375,135196.984375,134219.719921875,276.4294128417969,134219.71875
135200.22373046874,272.735107421875,135200.203125,129764.448046875,270.4212341308594,129764.453125
133851.5958984375,271.80810546875,133851.609375,129698.8015625,268.77880859375,129698.8125
132053.4818359375,270.33709716796875,132053.515625,132024.28359375,274.0226135253906,132024.28125
135018.79638671875,272.60614013671875,135018.796875,130687.13515625,271.5827941894531,130687.140625
133182.22890625,271.0799560546875,133182.21875,129436.13828125,271.67315673828125,129436.1328125
135354.85908203124,272.27862548828125,135354.875,133594.108984375,275.1072082519531,133594.109375
133421.66845703125,270.6715087890625,133421.6875,127823.4390625,267.49163818359375,127823.4375
132870.13681640624,270.1439514160156,132870.125,128925.55234375,270.0447082519531,128925.5546875
131983.74541015626,269.1324768066406,131983.75,128653.753125,269.4930114746094,128653.7734375
132731.432421875,269.4595947265625,132731.421875,127828.529296875,268.16778564453125,127828.53125
134384.81533203126,270.708740234375,134384.8125,126997.84921875,267.3720703125,126997.8515625
132354.212890625,269.387939453125,132354.203125,126570.956640625,266.84173583984375,126570.9453125
130694.26357421876,267.9649658203125,130694.2734375,126012.519140625,265.4278869628906,126012.515625
129813.10263671874,266.8456726074219,129813.0703125,126768.42421875,266.66387939453125,126768.421875
131706.1501953125,268.8417663574219,131706.15625,128308.345703125,269.9018249511719,128308.3671875
131180.19375,267.8296813964844,131180.171875,125046.440625,264.4615478515625,125046.453125
130889.0853515625,267.166259765625,130889.078125,130095.6328125,272.37982177734375,130095.640625
129682.3859375,266.8603210449219,129682.390625,125340.9625,265.0118713378906,125340.96875
129192.77490234375,266.0654602050781,129192.765625,124708.934375,262.0357360839844,124708.9296875
129085.8451171875,266.2777099609375,129085.875,123761.008984375,262.82965087890625,123761.0
127523.27744140624,264.0957336425781,127523.2421875,123153.701171875,261.4178466796875,123153.703125
127900.858984375,264.8211669921875,127900.8671875,123752.75546875,262.65301513671875,123752.765625
128082.9892578125,264.74969482421875,128082.9921875,123396.7,262.787109375,123396.6953125
